Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link14,-0.001921,0.020796,-0.0030499,0,0,0,0.0050397,9.5823E-07,-1.1425E-07,2.4213E-12,1.0646E-07,-3.6866E-12,9.8385E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link14.STL,0.82745,0.83922,0.82745,1,0,0,0,0,0,0,package://handleft9183/meshes/Link14.STL,,08-1,坐标系14,基准轴14,joint1314,revolute,0.0067937,0.037509,0.001,0,0,0,Link13,0,0,1,0,0,0,0,,,,,,,,
Link131,-0.0012971,0.011615,-0.019739,0,0,0,0.0042405,6.6215E-07,1.843E-08,-6.4482E-10,2.1226E-07,1.6838E-08,6.9343E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link131.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handleft9183/meshes/Link131.STL,,05-2,坐标系15,基准轴15,joint013,revolute,0.00028533,-0.13674,0.026271,0.034907,0,3.1416,base_link,0,-0.034899,-0.99939,0,0,0,0,,,,,,,,
Link15,-0.0039265,0.015726,-0.00145,0,0,0,0.00031561,4.8649E-08,1.1992E-08,2.3996E-24,3.789E-09,-1.2443E-23,5.1996E-08,0,0,0,0,0,0,package://handleft9183/meshes/Link15.STL,0.82745,0.83922,0.82745,1,0,0,0,0,0,0,package://handleft9183/meshes/Link15.STL,,06-2,坐标系16,基准轴16,joint015,revolute,-0.00546,-0.13228,0.0084,0,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link141,0.0027129,0.026044,-0.0030499,0,0,0,0.0050397,9.5823E-07,-1.1425E-07,2.4213E-12,1.0646E-07,-3.6866E-12,9.8385E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link141.STL,0.82745,0.83922,0.82745,1,0,0,0,0,0,0,package://handleft9183/meshes/Link141.STL,,08-1,坐标系17,基准轴17,joint1514,revolute,-0.0079562,0.031614,0.0016,0,0,0,Link15,0,0,1,0,0,0,0,,,,,,,,
Link21,0.0011553,0.028574,2.6944E-07,0,0,0,0.0069755,1.9953E-06,-1.5665E-08,-3.6195E-12,1.464E-07,-3.387E-11,2.0272E-06,0,0,0,0,0,0,package://handleft9183/meshes/Link21.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link21.STL,,03-7,坐标系21,基准轴21,joint021,revolute,0.00629,-0.056157,-0.0080633,-0.052348,-0.0011387,3.1199,base_link,0,0,1,0,0,0,0,,,,,,,,
Link22,-8.8629E-12,1.4214E-10,-0.011292,0,0,0,0.00030666,1.4483E-08,3.8409E-14,-4.2332E-17,1.4449E-08,4.4596E-16,6.5358E-10,0,0,0,0,0,0,package://handleft9183/meshes/Link22.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link22.STL,,04-5,坐标系22,基准轴22,joint2122,prismatic,0,0.0507,0,-1.5708,1.5697,3.1416,Link21,0,0,-1,0,0,0,0,,,,,,,,
Link23,0.0030736,0.017402,-0.0020499,0,0,0,0.0042405,6.6215E-07,1.8442E-08,-9.5137E-13,2.1167E-07,1.413E-11,6.9402E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link23.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handleft9183/meshes/Link23.STL,,05-3,坐标系23,基准轴23,joint2223,revolute,-0.00205,0,-0.0244,-1.5708,0.021758,1.5719,Link22,0,0,1,0,0,0,0,,,,,,,,
Link24,-0.0021753,0.019567,-0.00305,0,0,0,0.0045682,7.6285E-07,-8.0631E-08,-8.286E-14,9.4308E-08,2.1637E-13,7.8176E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link24.STL,1,1,1,1,0,0,0,0,0,0,package://handleft9183/meshes/Link24.STL,,09-1,坐标系24,基准轴24,joint2324,revolute,0.0067937,0.037509,0.001,0,0,0,Link23,0,0,-1,0,0,0,0,,,,,,,,
Link231,-0.0012971,0.011934,-0.0059999,0,0,0,0.0042405,6.6215E-07,1.8442E-08,-9.5137E-13,2.1167E-07,1.413E-11,6.9402E-07,0,0,0,0,0,0,package://handleft9183/meshes/Link231.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://handleft9183/meshes/Link231.STL,,05-3,坐标系25,基准轴25,joint023,revolute,0.00028533,-0.13691,-0.0062872,-0.05236,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
Link25,-0.0039265,0.015726,-0.00145,0,0,0,0.00031561,4.8649E-08,1.1992E-08,5.7294E-25,3.789E-09,2.0721E-24,5.1996E-08,0,0,0,0,0,0,package://handleft9183/meshes/Link25.STL,0.82745,0.83922,0.82745,1,0,0,0,0,0,0,package://handleft9183/meshes/Link25.STL,,06-3,坐标系26,基准轴26,joint025,revolute,-0.00546,-0.13186,-0.010579,-0.05236,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
